Sl.no,ObservationDate,District,State/Region,Last update,Confirmed,Recovered,Deaths
1,24/4/2020,Bengaluru Urban,Karnataka,24/4/2020 10:45,34,42,3
2,24/4/2020,Vijayapura,Karnataka,24/4/2020 10:45,18,0,5
3,23/4/2020,Kalburgi,Karnataka,23/4/2020 10:45,15,16,10
4,22/4/2020,Mysore,Karnataka,22/4/2020 10:45,12,38,0
5,24/4/2020,Bagalkote,Karnataka,24/4/2020 10:45,8,8,4
6,22/4/2020,Dakshina Kannada,Karnataka,22/4/2020 10:45,4,71,11
7,24/4/2020,Mandya,Karnataka,24/4/2020 10:45,3,0,0
8,23/4/2020,Belagavi,Karnataka,23/4/2020 10:45,3,7,2
9,23/4/2020,Tumakur,Karnataka,23/4/2020 10:45,1,33,33
10,20/4/2020,Gadag,Karnataka,23/4/2020 10:45,1,0,25
11,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,2,22,0
12,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,1,60,0
13,23/4/2020,Chikkaballapur,Karnataka,23/4/2020 10:45,1,59,11
14,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,23,0
15,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
16,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,29,0
17,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
18,28/3/2020,Davangere,Karnataka,28/3/2020 10:45,0,100,0
19,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
20,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
21,25/4/2020,Bengaluru Urban,Karnataka,25/4/2020 10:45,44,38,2
22,24/4/2020,Vijayapura,Karnataka,24/4/2020 10:45,17,0,5
23,23/4/2020,Kalburgi,Karnataka,23/4/2020 10:45,15,19,10
24,25/4/2020,Belagavi,Karnataka,25/4/2020 10:45,12,7,1
25,25/4/2020,Dakshina Kannada,Karnataka,25/4/2020 10:45,5,67,11
26,25/4/2020,Mandya,Karnataka,25/4/2020 10:45,4,0,0
27,25/4/2020,Mysore,Karnataka,25/4/2020 10:45,5,38,0
28,24/4/2020,Bagalkote,Karnataka,24/4/2020 10:45,3,8,4
29,23/4/2020,Tumakur,Karnataka,23/4/2020 10:45,1,33,33
30,20/4/2020,Gadag,Karnataka,20/4/2020 10:45,1,0,25
31,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,2,22,0
32,24/4/2020,Chikkaballapur,Karnataka,24/4/2020 10:45,2,61,11
33,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,1,60,0
34,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,23,0
35,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
36,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,57,0
37,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
38,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
39,28/3/2020,Davangere,Karnataka,28/3/2020 10:45,0,100,0
40,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
41,25/4/2020,Bengaluru Urban,Karnataka,25/4/2020 10:45,44,38,2
42,24/4/2020,Vijayapura,Karnataka,24/4/2020 10:45,17,0,5
43,23/4/2020,Kalburgi,Karnataka,23/4/2020 10:45,15,19,10
44,25/4/2020,Belagavi,Karnataka,25/4/2020 10:45,12,7,1
45,25/4/2020,Dakshina Kannada,Karnataka,25/4/2020 10:45,5,67,11
46,24/4/2020,Mandya,Karnataka,24/4/2020 10:45,4,0,0
47,25/4/2020,Mysore,Karnataka,25/4/2020 10:45,5,38,0
48,24/4/2020,Bagalkote,Karnataka,24/4/2020 10:45,3,8,4
49,23/4/2020,Tumakur,Karnataka,23/4/2020 10:45,1,33,33
50,20/4/2020,Gadag,Karnataka,20/4/2020 10:45,1,0,25
51,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,2,22,0
52,24/4/2020,Chikkaballapur,Karnataka,24/4/2020 10:45,2,61,11
53,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,1,60,0
54,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,23,0
55,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
56,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,57,0
57,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
58,23/3/2020,Chitradurga,Karnataka,23/3/202010:45,0,100,0
59,28/3/2020,Davangere,Karnataka,28/3/2020 10:45,0,100,0
60,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
61,26/4/2020,Bengaluru Urban,Karnataka,26/4/2020 10:45,45,42,3
62,25/4/2020,Belagavi,Karnataka,25/4/2020 10:45,12,11,1
63,26/4/2020,Kalburgi,Karnataka,26/4/2020 10:45,8,18,10
64,27/4/2020,Mandya,Karnataka,27/4/2020 10:45,6,22,0
65,26/4/2020,Vijayapura,Karnataka,26/4/2020 10:45,7,15,5
66,26/4/2020,Dakshina Kannada,Karnataka,26/4/2020 10:45,5,57,9
67,26/4/2020,Bagalkote,Karnataka,26/4/2020 10:45,5,23,3
68,25/4/2020,Mysore,Karnataka,25/4/2020 10:45,5,48,0
69,23/4/2020,Tumakur,Karnataka,23/4/2020 10:45,1,33,33
70,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,2,22,0
71,24/4/2020,Chikkaballapur,Karnataka,24/4/2020 10:45,2,61,11
72,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,0,60,0
73,20/4/2020,Gadag,Karnataka,20/4/2020 10:45,0,0,25
74,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,38,0
75,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
76,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,86,0
77,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
78,28/3/2020,Davangere,Karnataka,28/3/2020 10:45,0,100,0
79,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
80,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
81,27/4/2020,Bengaluru Urban,Karnataka,27/4/2020 10:45,44,46,3
82,28/4/2020,Kalburgi,Karnataka,28/4/2020 10:45,12,15,10
83,25/4/2020,Belagavi,Karnataka,25/4/2020 10:45,11,11,1
84,27/4/2020,Mandya,Karnataka,27/4/2020 10:45,6,22,0
85,26/4/2020,Vijayapura,Karnataka,26/4/2020 10:45,6,15,5
86,26/4/2020,Dakshina Kannada,Karnataka,26/4/2020 10:45,5,57,9
87,26/4/2020,Bagalkote,Karnataka,26/4/2020 10:45,5,23,3
88,25/4/2020,Mysore,Karnataka,25/4/2020 10:45,3,56,0
89,23/4/2020,Tumakur,Karnataka,23/4/2020 10:45,1,33,33
90,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,2,22,0
91,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,1,0,20
92,24/4/2020,Chikkaballapur,Karnataka,24/4/2020 10:45,2,61,11
